Codigo,Articulo,Unidad_de_Medida,Consumo
4Q,MEZCLA 4 QUESOS,Kilogramo,4.42
5Q,MEZCLA 5 QUESOS,Kilogramo,0.47
5QGO,MEZCLA 5 QUESOS GOURMET,Kilogramo,1.19
ABRG,SALSA AMERICAN BURGER 220ML,Kilogramo,0.33
ACE,ACEITE DE OLIVA AJO (TP),Litro,0.16
ACOSP,ACEITE OLIVA SPRAY,Gramo,15.00
AEG,ALITAS ENVASE GRANDE,Unidad,0
AF15,"BOTELLA AGUA 1,5L FONTVELLA",Unidad,2.00
AF50,"BOTELLA AGUA 0,5L FONTVELLA",Unidad,13.00
AGLA,ZZ AZUCAR GLASS 250 GR,Kilogramo,0
AN,ACEITUNAS NEGRAS,Kilogramo,1.00
ANCA,PET AQUARADE NARANJA ZERO 1.50,Unidad,0
APRE,ME ALITAS DE POLLO PREFRITA,Kilogramo,0.18
ARCEB,AROS DE CEBOLLA,Kilogramo,0.19
AT,ATUN,Kilogramo,1.15
ATN,ALITAS DE POLLO NORMAL,Kilogramo,1.90
AZNE,AZUCAR 8 GR NESPRESSO,Unidad,3.00
BA,BACON FRANQUI,Kilogramo,8.84
BBQH,ME SALSA BBQ HONEY 32X45GR,Unidad,4.00
BCC,BARRIL CRUZCAMPO,Litro,0
BCHE,BORDE QUESO CLASICO 6KG,Kilogramo,0.10
BCHI,YY BORDE QUESO PICANTON 6KG,Kilogramo,0
BCK,BARRIL HEINEKEN,Litro,3.08
BCRY5,BACON CRISPY,Kilogramo,0.95
BDOS05,"BOTELLA DOSIFICADOR 0,5L",Unidad,0
BDOS1,BOTELLA DOSIFICADOR 1L,Unidad,0
BEBR,BERENJENA BRASEADA,Kilogramo,0
BF,BOLA FAMILIAR,Bola,17.00
BFM28,BASE FINA MEDIANA 280 MM,Unidad,5.00
BITA,BORDE QUESO MEDITERRANEO 6KG,Kilogramo,0
BKME,ZZ BOLA CACAO MEDIANA,Bola,0
BLOO,ME SALSA BLOODY ONION,Unidad,0
BLSCMP,BOLSA COMPLEMENTOS,Unidad,5.00
BM,BOLA MEDIANA,Bola,147.00
BP,BOLA PEQUE?A,Bola,168.00
BPAD,BOLSA PAPEL DOMICILIO,Unidad,0
BPAT,ME BOLSA PATATAS MENEO,Unidad,4.00
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,Unidad,16.00
BQCH6,YY BORDE QUESO CHORIZO 6KG,Kilogramo,0
BSA,BOLA SUPER AHORRO,Bola,0
BTCO2,BOTELLA CO2 MEDIANA 10 KG,Kilogramo,0
C250,MP - CEBOLLA CORTADA 250 GR,Kilogramo,0
CA,CARNE,Kilogramo,5.08
CACHA,CAJA COMBO HAMBURGUESA,Unidad,0
CACOO,CAJA COOKIE 2025,Unidad,3.00
CAFF2,CAFE INTENSO,Unidad,0
CAFF3,CAFE CLASSICO 10 CPS,Unidad,0
CAJU,ME SAZONADOR CAJUN APIO,Kilogramo,0.01
CAKE,CAJA COMBO 2025,Unidad,6.00
CAMML,CAMISETA MUJER 19 T.L,Unidad,0
CAMMM,CAMISETA MUJER 19 T.M,Unidad,0
CASA,CAJA SANDWICH 2022,Unidad,15.00
CATP,CALCETINES,Unidad,0
CC1S,CAJA COMPLEMENTOS 1 SALSA,Unidad,34.00
CCARM,CEBOLLA CARAMELIZADA MORENO,Kilogramo,0.19
CCHME,ME CAJA COMBO HAMBURGUESA MENE,Unidad,1.00
CCPOPS,POPS POLLO,Kilogramo,1.53
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,Kilogramo,0.02
CEN,CEBOLLA CONGELADA,Kilogramo,2.01
